name,release_date,developer,publisher,platforms,required_age,categories,genres
The Next Penelope,2015-05-29,Aurelien Regard,Plug In Digital,windows;mac,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support,Action;Indie;Racing
Disney•Pixar Cars Mater-National Championship,2015-02-24,Rainbow Studios,THQ;Disney Interactive,windows,0,Single-player;Shared/Split Screen;Partial Controller Support;Steam Cloud,Racing
Gunmetal Arcadia,2017-02-07,Minor Key Games,Minor Key Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Cloud,Action;Adventure;Indie
LEGO® Worlds,2017-03-07,TT Games;Traveller's Tales,Warner Bros. Interactive Entertainment,windows,0,Single-player;Online Multi-Player;Online Co-op;Shared/Split Screen;Steam Achievements;Full controller support,Adventure
PixelJunk™ Shooter Ultimate,2015-10-21,Q-Games Ltd.;Double Eleven,Double Eleven,windows,0,Single-player;Multi-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action
Miko Gakkou Monogatari: Kaede Episode,2015-11-26,xinoro,xinoro,windows,0,Single-player;Steam Achievements;Partial Controller Support,Adventure;Indie
Asguaard,2015-04-10,Aldorlea Games,Aldorlea Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG
Undefeated,2015-04-03,Aldorlea Games,Aldorlea Games,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Adventure;Casual;Indie;RPG;Strategy
Girlfriend Rescue,2015-07-10,Aldorlea Games,Aldorlea Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Action;Adventure;Casual;Indie;RPG;Strategy
Moonchild,2016-04-22,Aldorlea Games,Aldorlea Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Casual;Indie;RPG
Phoenix Force,2014-11-13,Awoker Games,Awoker Games,windows,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards,Action;Indie
Battle Fleet 2,2014-11-20,Mythical City Games,Mythical City Games,windows;mac,0,Single-player;Multi-player;Shared/Split Screen;Cross-Platform Multiplayer;Steam Achievements;Steam Leaderboards,Simulation;Strategy
GRAV,2015-01-08,"BitMonster, Inc.","BitMonster, Inc.",windows,0,Single-player;Multi-player;Co-op;Partial Controller Support,Action;Adventure;Indie;RPG;Early Access
Shutshimi,2015-08-25,Neon Deity Games,Choice Provisions,windows;mac;linux,0,Single-player;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Action;Indie
We Slay Monsters,2017-06-21,Furiously Inactive Games,Furiously Inactive Games,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Steam Leaderboards,Indie;RPG;Strategy
Amazing Frog?,2014-11-21,Fayju,Fayju,windows;mac;linux,0,Single-player;Co-op;Local Co-op;Shared/Split Screen;Full controller support;Steam Cloud,Adventure;Indie;Early Access
Mimpi,2015-01-20,Dreadlocks Mobile;Silicon Jelly,Dreadlocks Mobile;Silicon Jelly,windows;mac,0,Single-player;Steam Trading Cards;Partial Controller Support,Adventure;Casual;Indie
Mystik Belle,2015-05-22,Last Dimension,Last Dimension,windows;linux,0,Single-player;Steam Achievements;Steam Trading Cards;Partial Controller Support;Steam Cloud,Action;Adventure;Indie;RPG
PONCHO,2015-11-03,Delve Interactive,Rising Star Games,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud,Adventure;Indie
The Guilt and the Shadow,2015-02-02,oophok,oophok,windows;mac,0,Single-player;Steam Achievements;Steam Trading Cards,Adventure;Indie
The Exiled,2017-02-23,Fairytale Distillery,Fairytale Distillery,windows;mac;linux,0,Multi-player;Online Multi-Player;MMO,Action;Massively Multiplayer;RPG;Early Access
Mike was Сursed,2018-04-19,Bogdan Sychkov,Raum Studio,windows,0,Single-player;Steam Trading Cards,Action;Adventure;Indie
1Quest,2014-12-03,Ratz 'N' Godz;Storybird Games,Ratz 'N' Godz,windows,0,Single-player;Steam Achievements;Steam Trading Cards;Steam Leaderboards,Indie;RPG
National Zombie Park,2014-12-15,Paper Games,Freshtrax,windows,0,Single-player;Multi-player;Co-op;Steam Trading Cards,Action;Indie
Darkness Assault,2015-02-06,Black Lime Studio,Black Lime Studio,windows,0,Single-player;Steam Achievements;Steam Trading Cards,Violent;Gore;Action;Indie
Midnight Mysteries: Witches of Abraham - Collector's Edition,2014-11-24,Hot Lava,MumboJumbo,windows,0,Single-player,Adventure;Casual
Don't Shoot Yourself!,2015-04-10,"Silverware Games, Inc.","Silverware Games, Inc.",windows;mac,0,Single-player;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Leaderboards,Action;Indie;Strategy
